,TIME_CONTRAL_A,TIME_CONTRAL_B,STEPS,TERMINATION,GAME_LENGTH,GAME_TYPE
0,600.0,0.0,28,1,166.0,1
1,300.0,0.0,33,1,293.0,2
2,600.0,0.0,43,1,326.0,1
3,480.0,0.0,25,1,206.0,1
4,600.0,0.0,47,0,599.0,1
5,60.0,0.0,20,1,37.0,3
6,60.0,0.0,24,1,38.0,3
7,600.0,0.0,17,1,146.0,1
8,1800.0,0.0,20,1,461.0,1
9,600.0,0.0,15,1,93.0,1
10,180.0,2.0,22,1,70.0,2
11,300.0,3.0,63,1,276.0,2
12,120.0,0.0,30,0,77.0,3
13,600.0,0.0,45,1,451.0,1
14,900.0,15.0,59,1,568.0,1
15,900.0,15.0,44,1,496.0,1
16,900.0,15.0,26,0,27.0,1
17,900.0,0.0,17,1,651.0,1
18,180.0,0.0,25,1,63.0,2
19,60.0,0.0,21,0,32.0,3
20,60.0,0.0,31,1,22.0,3
21,60.0,0.0,28,1,46.0,3
22,30.0,0.0,24,0,29.0,3
23,180.0,0.0,41,0,161.0,2
24,720.0,0.0,55,1,555.0,1
25,120.0,1.0,29,1,118.0,3
26,60.0,0.0,32,0,57.0,3
27,300.0,0.0,21,1,126.0,2
28,600.0,0.0,35,1,558.0,1
29,600.0,0.0,65,1,574.0,1
30,60.0,0.0,24,0,60.0,3
31,60.0,0.0,38,0,59.0,3
32,2700.0,45.0,25,1,482.0,1
33,60.0,0.0,23,0,59.0,3
34,600.0,10.0,15,1,36.0,1
35,600.0,0.0,45,1,314.0,1
36,600.0,0.0,28,1,191.0,1
37,900.0,0.0,20,1,255.0,1
38,300.0,0.0,30,1,197.0,2
39,300.0,0.0,49,0,300.0,2
40,240.0,2.0,31,1,146.0,2
41,600.0,0.0,33,1,470.0,1
42,300.0,3.0,33,1,114.0,2
43,300.0,5.0,26,1,73.0,1
44,900.0,0.0,25,0,486.0,1
45,60.0,0.0,37,1,37.0,3
46,480.0,0.0,19,1,157.0,1
47,420.0,0.0,19,1,126.0,2
48,180.0,0.0,36,1,173.0,2
49,120.0,1.0,29,0,117.0,3
50,180.0,2.0,37,0,159.0,2
51,240.0,0.0,51,1,207.0,2
52,300.0,5.0,40,1,290.0,1
53,30.0,0.0,24,0,17.0,3
54,360.0,8.0,24,1,202.0,1
55,600.0,0.0,16,1,133.0,1
56,60.0,0.0,31,1,15.0,3
57,1200.0,0.0,12,1,117.0,1
58,60.0,0.0,32,0,44.0,3
59,300.0,3.0,25,1,242.0,2
60,180.0,2.0,29,1,158.0,2
61,120.0,1.0,19,1,62.0,3
62,300.0,3.0,38,1,255.0,2
63,1020.0,0.0,31,1,425.0,1
64,30.0,0.0,18,0,25.0,3
65,60.0,0.0,29,0,59.0,3
66,60.0,0.0,37,0,57.0,3
67,420.0,8.0,34,1,175.0,1
68,180.0,2.0,22,1,120.0,2
69,120.0,0.0,31,1,72.0,3
70,600.0,0.0,25,1,264.0,1
71,0.0,4.0,40,1,53.0,3
72,60.0,0.0,25,0,28.0,3
73,30.0,0.0,22,0,29.0,3
74,300.0,0.0,63,0,300.0,2
75,300.0,0.0,45,1,216.0,2
76,120.0,0.0,29,1,60.0,3
77,420.0,0.0,29,0,417.0,2
78,336.81176168464305,1.6013525081321691,27,0,0.0,2
79,60.0,0.0,31,1,56.0,3
80,300.0,3.0,19,1,21.0,2
81,300.0,3.0,27,1,252.0,2
82,60.0,0.0,34,0,49.0,3
83,120.0,1.0,34,0,94.0,3
84,600.0,0.0,31,1,483.0,1
85,180.0,0.0,44,0,180.0,2
86,60.0,0.0,25,1,37.0,3
87,900.0,0.0,67,1,616.0,1
88,600.0,0.0,50,1,431.0,1
89,180.0,3.0,23,0,140.0,2
